"","WHISKY","PRESENTER","DATE","AGE","PRICE","SIZE","ABV","X..1.5.oz","ORIGIN","AMOUNT","STATUS","Individual","value","WHISKYNAME"
"579","Ardmore","Joss","31/01/2013","NAS",45,700,46,3,"Speyside",0,"EMPTY","Joss",73,"Ardmore NAS"
"581","Aultmore","Miles","22/10/2015","12",80,750,46,5,"Speyside",0.7,"OWNED","Joss",76,"Aultmore 12"
"582","Benriach Peated (Importanticus Fumosus)","Steve","29/05/2014","12",75,700,46,5,"Speyside",0,"REPLACE","Joss",77,"Benriach Peated (Importanticus Fumosus) 12"
"583","Bruichladdich","Dan","31/01/2013","10",63,700,46,5,"Islay",0,"EMPTY","Joss",77,"Bruichladdich 10"
"584","Clynelish","Seb","29/11/2012","14",80,750,46,5,"Highland",0,"RETIRED","Joss",79,"Clynelish 14"
"585","Craigellaichie","Luke","28/07/2016","13",80,700,46,6,"Speyside",0.8,"OWNED","Joss",73,"Craigellaichie 13"
"586","Craigellaichie","Murilo","29/09/2016","19",150,1000,46,7,"Speyside",NA,"OWNED","Joss",81,"Craigellaichie 19"
"587","Glendronach","Miles","30/01/2014","14",90,700,46,6,"Highland",0.3,"OWNED","Joss",78,"Glendronach 14"
"588","Glenfarclas","Phil","26/03/2015","15",115,700,46,8,"Highland",NA,"OWNED","Joss",79,"Glenfarclas 15"
"589","Glenmorangie Lasanta","Marian","24/03/2014","12",74,1000,46,4,"Highland",0,"EMPTY","Joss",78,"Glenmorangie Lasanta 12"
"591","Glenmorangie Signet","Ash","27/06/2013","NAS",311,750,46,19,"Highland",NA,"OWNED","Joss",84,"Glenmorangie Signet NAS"
"592","Glenmorangie Signet","CLUB (SS4)","23/06/2016","NAS",260,750,46,16,"Highland",NA,"OWNED","Joss",89,"Glenmorangie Signet NAS"
"593","Hazelburn","CLUB (SS1)","20/06/2013","12",129,700,46,9,"Campbeltown",0.4,"OWNED","Joss",80,"Hazelburn 12"
"594","Jura Prophecy","Andrew","24/10/2013","NAS",95,750,46,6,"Island",0.4,"OWNED","Joss",82,"Jura Prophecy NAS"
"595","Old Pulteney Noss Head","Murilo","24/09/2015","NAS",NA,1000,46,0,"Highland",0.6,"OWNED","Joss",72,"Old Pulteney Noss Head NAS"
"596","Springbank","Steve","26/09/2013","10",80,750,46,5,"Campbeltown",0.3,"OWNED","Joss",72,"Springbank 10"
"597","Talisker","Miles","28/03/2013","10",80,750,46,5,"Island",1,"OWNED","Joss",80,"Talisker 10"
"598","Talisker Dark Storm","Max","24/09/2015","NAS",90,1000,46,5,"Island",0.4,"OWNED","Joss",82,"Talisker Dark Storm NAS"
"599","Tomatin Cubocan","Murilo","26/05/2016","NAS",96,750,46,6,"Highland",0.2,"OWNED","Joss",76,"Tomatin Cubocan NAS"
"600","Bunnahabhain","Stefan","27/10/2016","12",90,700,46,6,"Islay",0.4,"OWNED","Joss",83,"Bunnahabhain 12"
"601","Bunnahabhain Eirigh Na Greine","Mike","01/09/2016","NAS",100,1000,46,5,"Islay",0.4,"OWNED","Joss",80,"Bunnahabhain Eirigh Na Greine NAS"
"602","Deanston Virgin Oak","Steve","27/08/2015","NAS",50,750,46,3,"Highland",0.7,"OWNED","Joss",77,"Deanston Virgin Oak NAS"
"603","Highland Park Dark Origins","Andrew","26/11/2015","NAS",100,750,46,6,"Highland",0,"EMPTY","Joss",79,"Highland Park Dark Origins NAS"
"604","Highland Park","CLUB (SS2)","19/06/2014","21",300,700,47,20,"Island",NA,"OWNED","Joss",85,"Highland Park 21"
"605","Glenfiddich Snow Phoenix","CLUB (WS3)","17/12/2015","NAS",250,750,47,15,"Speyside",NA,"OWNED","Joss",83,"Glenfiddich Snow Phoenix NAS"
